"Zip Code","Population 2016","Population 2010","Population 2000","Land Area","Foreign Born Population","Median Household Income","Median Home Price","Median Resident Age","White Population","Hispanic/Latino Population","Black Population","Asian Population","American Indian Population","High School Diploma","Bachelor's Degree","Graduate Degree","Male Percent","Female Percent","Average Household Size"
"88201","26757","25490","53113","-829.1","0.0790","49994","151502","39.2","15253","9205","301","246","146","0.8660","0.2950","0.0990","0.4910","0.5090","2.6"
"88202","0","0","0","0","0.0","0","0","0.0","0","0","0","0","0","0.0","0.0","0.0","0.0","0.0","0.0"
"88203","30989","0","0","-829.1","0.1600","38671","95785","32.7","0","0","0","0","0","0.7460","0.1500","0.0470","0.4890","0.5110","2.8"
"88230","5204","5179","5225","246.2","0.2110","40094","97783","33.7","1705","3377","17","11","41","0.6490","0.0570","0.0280","0.5150","0.4850","3.4"
"88232","2676","2525","2777","187.2","0.1880","42207","93343","35.6","877","1536","27","9","55","0.6320","0.0690","0.0260","0.5800","0.4200","3.4"
"88253","898","935","275","189.6","0.1960","54515","97339","33.9","405","508","5","0","1","0.6890","0.0970","0.0190","0.5580","0.4420","2.7"
