"Zip Code","Population 2016","Population 2010","Population 2000","Land Area","Foreign Born Population","Median Household Income","Median Home Price","Median Resident Age","White Population","Hispanic/Latino Population","Black Population","Asian Population","American Indian Population","High School Diploma","Bachelor's Degree","Graduate Degree","Male Percent","Female Percent","Average Household Size"
"79015","22,025","19,277","16,527","383.7","4.5%","$61,884","$191,237","30.6","15,706","2,664","329","269","92","92.2%","40.5%","14.0%","48.7%","51.3%","2.6"
"79016","115","","","0.0","7.4%","","","19.5","","","","","","100.7%","51.7%","0.0%","0.0%","100.0%",""
"79091","220","147","143","19.3","0.0%","$49,326","$83,243","41.4","138","2","1","3","0","78.8%","43.4%","25.4%","44.3%","55.7%","2.9"
"79109","43,644","43,516","46,005","10.4","5.5%","$57,591","$167,707","37.2","34,622","6,297","1,242","397","212","92.3%","32.1%","11.1%","47.6%","52.4%","2.3"
"79110","20,194","18,811","17,946","5.6","3.2%","$59,018","$121,757","33.4","13,400","4,220","610","148","94","87.1%","18.2%","5.3%","48.7%","51.3%","2.7"
"79114","","","","","","","","","","","","","","","","","","",""
"79118","21,267","19,726","12,638","169.9","5.4%","$69,932","$161,270","35.6","14,705","3,888","444","324","93","86.0%","21.0%","5.6%","52.4%","47.6%","2.9"
"79119","15,277","11,539","4,066","101.5","4.6%","$89,084","$281,473","36.4","9,739","1,179","148","286","64","95.7%","42.7%","16.8%","48.0%","52.0%","2.7"
"79121","6,810","6,575","6,332","1.8","6.3%","$75,410","$197,564","48.0","5,465","671","108","231","34","96.8%","46.8%","13.4%","50.4%","49.6%","2.3"
