"Zip Code","Population 2016","Population 2010","Population 2000","Land Area","Foreign Born Population","Median Household Income","Median Home Price","Median Resident Age","White Population","Hispanic/Latino Population","Black Population","Asian Population","American Indian Population","High School Diploma","Bachelor's Degree","Graduate Degree","Male Percent","Female Percent","Average Household Size"
"11755","12,608","12,387","11,402","3.2","13.6%","$105,143","$425,650","40.4","10,272","946","228","789","16","94.5%","39.3%","18.3%","49.5%","50.5%","3.0"
"11757","45,342","45,700","46,458","6.8","19.4%","$84,024","$380,920","42.0","37,669","5,512","911","976","28","89.6%","23.2%","7.5%","49.8%","50.2%","3.0"
"11760","","","","","","","","","","","","","","","","","","",""
"11763","29,065","28,506","24,743","13.8","13.0%","$84,607","$324,315","38.1","19,339","5,371","2,530","729","85","90.8%","26.0%","10.6%","48.0%","52.0%","3.0"
"11764","13,216","13,200","11,120","9.2","7.4%","$119,481","$473,376","40.0","11,803","654","204","379","12","98.5%","48.4%","24.6%","49.7%","50.3%","3.1"
"11766","12,656","12,635","9,365","6.2","8.8%","$117,818","$480,479","42.3","11,092","722","179","503","12","96.3%","46.1%","20.1%","47.8%","52.2%","2.9"
"11767","15,567","14,530","13,841","4.2","10.2%","$122,561","$490,024","42.2","12,545","1,001","211","634","10","95.1%","43.6%","20.2%","47.1%","52.9%","3.1"
"11768","21,681","21,902","21,676","15.1","6.6%","$124,776","$681,816","48.4","20,315","813","131","401","13","99.3%","58.0%","28.2%","47.9%","52.1%","2.7"
"11769","8,810","9,506","9,729","4.4","5.9%","$90,820","$451,844","47.8","8,866","369","82","127","4","95.1%","34.9%","17.8%","45.9%","54.1%","2.5"
"11770","65","137","190","0.4","9.7%","$159,040","$901,800","55.9","135","1","0","1","0","101.6%","59.1%","18.7%","50.8%","49.2%","2.2"
"11772","45,891","44,837","41,913","16.2","14.3%","$71,816","$331,197","39.3","30,704","10,010","2,403","901","95","86.1%","24.5%","9.9%","49.4%","50.6%","2.7"
"11773","","","","","","","","","","","","","","","","","","",""
"11775","","","","","","","","","","","","","","","","","","",""
"11776","26,704","24,235","22,440","6.9","15.8%","$97,969","$384,250","40.4","18,967","3,432","569","981","19","91.0%","35.3%","14.4%","47.8%","52.2%","3.2"
"11777","9,086","8,968","9,025","4.4","17.8%","$108,488","$578,817","46.8","7,667","547","131","503","7","100.3%","65.9%","44.7%","48.9%","51.1%","2.5"
"11778","12,531","12,709","11,514","6.8","6.2%","$95,343","$309,553","37.7","11,261","917","174","193","18","95.4%","34.9%","17.6%","46.9%","53.1%","2.9"
"11779","38,630","38,421","39,321","12.5","12.4%","$90,280","$368,933","40.4","31,426","3,830","737","1,828","28","93.0%","30.1%","12.9%","50.9%","49.1%","3.0"
"11780","15,832","15,524","14,920","11.5","6.5%","$117,297","$537,195","46.7","14,124","763","91","402","1","95.8%","48.6%","26.6%","48.8%","51.2%","2.9"
"11782","15,566","15,814","15,897","5.6","5.1%","$110,264","$484,364","44.5","14,465","750","148","297","18","95.3%","48.7%","24.4%","46.9%","53.1%","2.8"
"11784","26,606","24,655","26,411","5.5","11.9%","$91,983","$327,090","38.2","19,130","3,242","767","1,099","19","91.2%","26.1%","10.9%","50.1%","49.9%","3.3"
"11786","6,103","6,344","5,883","5.8","7.8%","$131,361","$448,514","40.6","5,725","320","83","161","3","97.8%","48.9%","28.5%","49.8%","50.2%","3.3"
"11787","36,556","35,772","34,794","15.0","7.4%","$119,939","$514,886","44.7","32,139","1,867","343","1,045","12","96.7%","47.5%","22.8%","48.8%","51.2%","2.9"
"11788","16,236","16,821","16,836","8.6","13.5%","$109,370","$502,899","43.1","13,859","1,287","369","1,115","11","96.8%","45.2%","19.8%","51.4%","48.6%","2.9"
"11789","8,319","7,895","7,660","1.7","5.1%","$80,265","$319,321","41.7","7,034","498","89","140","13","95.6%","39.8%","15.2%","49.6%","50.4%","2.9"
"11790","18,628","18,511","18,374","7.2","18.2%","$128,460","$490,801","25.6","14,433","905","805","2,085","26","99.2%","67.7%","39.0%","51.4%","48.6%","2.9"
"11792","8,933","8,523","7,156","9.9","6.9%","$126,179","$494,242","43.7","7,799","378","146","84","3","97.2%","42.8%","23.9%","48.3%","51.7%","2.9"
"11794","3,025","","","0.3","28.3%","","","20.1","","","","","","102.6%","86.8%","24.7%","53.9%","46.1%",""
"11795","25,663","26,030","27,127","5.7","5.8%","$116,860","$458,725","43.6","23,908","1,348","114","411","6","94.9%","37.6%","18.2%","47.6%","52.4%","3.1"
"11796","4,123","4,056","3,835","1.5","4.0%","$96,644","$418,102","46.1","3,787","152","45","38","3","90.7%","34.7%","15.7%","48.9%","51.1%","3.0"
"11798","14,446","15,347","15,199","4.8","24.0%","$74,206","$330,420","32.9","1,338","3,762","9,421","326","88","81.3%","22.7%","8.8%","47.8%","52.2%","3.8"
"11901","30,113","27,172","22,897","55.2","21.8%","$58,288","$333,083","43.0","15,964","6,557","3,705","299","80","81.0%","18.7%","7.6%","54.8%","45.2%","2.5"
"11930","1,261","1,343","1,167","9.2","11.2%","$98,073","$1,306,029","52.2","1,176","120","13","24","3","95.8%","53.7%","25.9%","54.4%","45.6%","2.4"
