"Zip Code","Population 2016","Population 2010","Population 2000","Land Area","Foreign Born Population","Median Household Income","Median Home Price","Median Resident Age","White Population","Hispanic/Latino Population","Black Population","Asian Population","American Indian Population","High School Diploma","Bachelor's Degree","Graduate Degree","Male Percent","Female Percent","Average Household Size"
"88201","26757","25490","53113","-829.1","7.9%","$49,994","$151,502","39.2","15,253","9,205","301","246","146","86.6%","29.5%","9.9%","49.1%","50.9%","2.6"
"88202","0","0","0","","","","","","","","","","","","","","","",""
"88203","30989","0","0","-829.1","16.0%","$38,671","$95,785","32.7","","","","","","74.6%","15.0%","4.7%","48.9%","51.1%","2.8"
"88230","5204","5179","5225","246.2","21.1%","$40,094","$97,783","33.7","1,705","3,377","17","11","41","64.9%","5.7%","2.8%","51.5%","48.5%","3.4"
"88232","2676","2525","2777","187.2","18.8%","$42,207","$93,343","35.6","877","1,536","27","9","55","63.2%","6.9%","2.6%","58.0%","42.0%","3.4"
"88253","898","935","275","189.6","19.6%","$54,515","$97,339","33.9","405","508","5","0","1","68.9%","9.7%","1.9%","55.8%","44.2%","2.7"
